Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",26,,Soil heat flux,,,W m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",27,,Soil depth,,,m,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",28,,Snow temperature,,,K,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",29,,Ice temperature,,,K,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",30,,Soil wetness index,,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",31-191,,Reserved,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",192-254,,Reserved for local use,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",255,,Missing,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",0,,Fire outlook,,,(Code table 4.224),Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",1,,Fire outlook due to dry thunderstorm,,,(Code table 4.224),Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",2,,Haines index,,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",3,,Fire burned area,,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",4,,Fosberg index,(see Note),87,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",5,,Forest Fire Weather Index (as defined by the Canadian Forest Service),,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",6,,Fine Fuel Moisture Code (as defined by the Canadian Forest Service),,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",7,,Duff Moisture Code (as defined by the Canadian Forest Service),,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",8,,Drought Code (as defined by the Canadian Forest Service),,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",9,,Initial Fire Spread Index (as defined by the Canadian Forest Service),,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",10,,Fire Buildup Index (as defined by the Canadian Forest Service),,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",11,,Fire Daily Severity Rating (as defined by the Canadian Forest Service),,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",12,,Keetch-Byram drought index,,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",13,,Drought factor (as defined by the Australian forest service ),,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",14,,Rate of spread (as defined by the Australian forest service ),,,m/s,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",15,,Fire danger index (as defined by the Australian forest service ),,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",16,,Spread component (as defined by the US Forest Service National Fire Danger Rating System),,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",17,,Burning index (as defined by the US Forest Service National Fire Danger Rating System),,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",18,,Ignition component (as defined by the US Forest Service National Fire Danger Rating System),,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",19,,Energy release component (as defined by the US Forest Service National Fire Danger Rating System),,,Joule/m2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",20,,Burning area,,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",21,,Burnable area,,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",22,,Unburnable area,,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",23,,Fuel load,,,kg m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",24,,Combustion completeness,,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",25,,Fuel moisture content,,,kg kg-1,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",26,,Wildfire potential (as defined by the US NOAA Global Systems Laboratory),,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",27,,Live leaf fuel load,,,kg m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",28,,Live wood fuel load,,,kg m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",29,,Dead leaf fuel load,,,kg m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",30,,Dead wood fuel load,,,kg m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",31,,Live fuel moisture content,,,kg kg-1,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",32,,Fine dead leaf moisture content,,,kg kg-1,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",33,,Dense dead leaf moisture content,,,kg kg-1,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",34,,Fine dead wood moisture content,,,kg kg-1,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",35,,Dense dead wood moisture content,,,kg kg-1,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",36,,Fire radiative power,,,W,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",37-191,,Reserved,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",192-254,,Reserved for local use,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",255,,Missing,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 5: glaciers and inland ice",0,,Glacier cover,(see Note),26,Proportion,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 5: glaciers and inland ice",1,,Glacier temperature,,,K,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 5: glaciers and inland ice",2-191,,Reserved,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 5: glaciers and inland ice",192-254,,Reserved for local use,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 5: glaciers and inland ice",255,,Missing,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 6: urban areas",0,,Urban cover,,,Proportion,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 6: urban areas",1,,Road cover,,,Proportion,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 6: urban areas",2,,Building cover,,,Proportion,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 6: urban areas",3,,Building height,,,m,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 6: urban areas",4,,Vertical-to-horizontal area fraction,,,m2 m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 6: urban areas",5,,Standard deviation of building height,,,m,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 6: urban areas",6,,Distance downward from roof surface,,,m,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 6: urban areas",7,,Distance inward from outer wall surface,,,m,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 6: urban areas",8,,Distance downward from road surface,,,m,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 6: urban areas",9-191,,Reserved,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 6: urban areas",192-254,,Reserved for local use,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 6: urban areas",255,,Missing,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 0: image format products",0,,Scaled radiance,,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 0: image format products",1,,Scaled albedo,,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 0: image format products",2,,Scaled brightness temperature,,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 0: image format products",3,,Scaled precipitable water,,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 0: image format products",4,,Scaled lifted index,,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 0: image format products",5,,Scaled cloud top pressure,,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 0: image format products",6,,Scaled skin temperature,,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 0: image format products",7,,Cloud mask,,,(Code table 4.217),Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 0: image format products",8,,Pixel scene type,,,(Code table 4.218),Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 0: image format products",9,,Fire detection indicator,,,(Code table 4.223),Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 0: image format products",10-191,,Reserved,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 0: image format products",192-254,,Reserved for local use,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 0: image format products",255,,Missing,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",0,,Estimated precipitation,,,kg m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",1,,Instantaneous rain rate,,,kg m-2 s-1,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",2,,Cloud top height,,,m,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",3,,Cloud top height quality indicator,,,(Code table 4.219),Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",4,,Estimated u-component of wind,,,m/s,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",5,,Estimated v-component of wind,,,m/s,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",6,,Number of pixel used,,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",7,,Solar zenith angle,,,deg,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",8,,Relative azimuth angle,,,deg,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",9,,Reflectance in 0.6 micron channel,,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",10,,Reflectance in 0.8 micron channel,,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",11,,Reflectance in 1.6 micron channel,,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",12,,Reflectance in 3.9 micron channel,,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",13,,Atmospheric divergence,,,/s,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",14,,Cloudy brightness temperature,,,K,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",15,,Clear-sky brightness temperature,,,K,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",16,,Cloudy radiance (with respect to wave number),,,W m-1 sr-1,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",17,,Clear-sky radiance (with respect to wave number),,,W m-1 sr-1,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",18,,Reserved,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",19,,Wind speed,,,m/s,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",20,,Aerosol optical thickness at 0.635 μm,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",21,,Aerosol optical thickness at 0.810 μm,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",22,,Aerosol optical thickness at 1.640 μm,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",23,,Angstrom coefficient,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",24-26,,Reserved,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",27,,Bidirectional reflectance factor,(see Note 1),98,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",28,,Brightness temperature,,,K,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",29,,Scaled radiance,(see Note 2),114,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",30,,Reflectance in 0.4 micron channel,,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",31,,Cloudy reflectance,,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",32,,Clear reflectance,,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",33-97,,Reserved,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",98,,Correlation coefficient between MPE rain-rates for the co-located IR data and the microwave data rain-rates,,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",99,,Standard deviation between MPE rain-rates for the co-located IR data and the microwave data rain-rates,,,kg m-2 s-1,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",100-191,,Reserved,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",192-254,,Reserved for local use,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",255,,Missing,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",0,,Clear sky probability,,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",1,,Cloud top temperature,,,K,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",2,,Cloud top pressure,,,Pa,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",3,,Cloud type,,,(Code table 4.218),Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",4,,Cloud phase,,,(Code table 4.218),Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",5,,Cloud optical depth,,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",6,,Cloud particle effective radius,,,m,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",7,,Cloud liquid water path,,,kg m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",8,,Cloud ice water path,,,kg m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",9,,Cloud albedo,,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",10,,Cloud emissivity,,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",11,,Effective absorption optical depth ratio,,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",30,,Measurement cost,,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",31,,Upper layer cloud optical depth,(see Note),70,Numeric,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",32,,Upper layer cloud top pressure,(see Note),70,Pa,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",33,,Upper layer cloud effective radius,(see Note),70,m,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",34,,Error in upper layer cloud optical depth,(see Note),70,Numeric,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",35,,Error in upper layer cloud top pressure,(see Note),70,Pa,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",36,,Error in upper layer cloud effective radius,(see Note),70,m,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",37,,Lower layer cloud optical depth,(see Note),70,Numeric,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",38,,Lower layer cloud top pressure,(see Note),70,Pa,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",39,,Error in lower layer cloud optical depth,(see Note),70,Numeric,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",40,,Error in lower layer cloud top pressure,(see Note),70,Pa,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",41-191,,Reserved,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",192-254,,Reserved for local use,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",255,,Missing,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 3: flight rule conditions",0,,Probability of encountering marginal visual flight rule conditions,,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 3: flight rule conditions",1,,Probability of encountering low instrument flight rule conditions,,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 3: flight rule conditions",2,,Probability of encountering instrument flight rule conditions,,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 3: flight rule conditions",3-191,,Reserved,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 3: flight rule conditions",192-254,,Reserved for local use,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 3: flight rule conditions",255,,Missing,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",0,,Volcanic ash probability,,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",1,,Volcanic ash cloud top temperature,,,K,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",2,,Volcanic ash cloud top pressure,,,Pa,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",3,,Volcanic ash cloud top height,,,m,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",4,,Volcanic ash cloud emissivity,,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",5,,Volcanic ash effective absorption optical depth ratio,,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",6,,Volcanic ash cloud optical depth,,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",7,,Volcanic ash column density,,,kg m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",8,,Volcanic ash particle effective radius,,,m,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",9-191,,Reserved,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",192-254,,Reserved for local use,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",255,,Missing,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 5: sea-surface temperature",0,,Interface sea-surface temperature,(see Note 1),106,K,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 5: sea-surface temperature",1,,Skin sea-surface temperature,(see Note 2),82,K,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 5: sea-surface temperature",2,,Sub-skin sea-surface temperature,(see Note 3),81,K,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 5: sea-surface temperature",3,,Foundation sea-surface temperature,(see Note 4),83,K,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 5: sea-surface temperature",4,,Estimated bias between sea-surface temperature and standard,,,K,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 5: sea-surface temperature",5,,Estimated standard deviation between sea surface temperature and standard,,,K,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 5: sea-surface temperature",6-191,,Reserved,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 5: sea-surface temperature",192-254,,Reserved for local use,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 5: sea-surface temperature",255,,Missing,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 6: solar radiation",0,,Global solar irradiance,(see Note 1),101,W m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 6: solar radiation",1,,Global solar exposure,(see Note 2),113,J m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 6: solar radiation",2,,Direct solar irradiance,(see Note 3),103,W m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 6: solar radiation",3,,Direct solar exposure,(see Note 4),112,J m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 6: solar radiation",4,,Diffuse solar irradiance,(see Note 5),102,W m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 6: solar radiation",5,,Diffuse solar exposure,(see Note 6),111,J m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 6: solar radiation",6-191,,Reserved,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 6: solar radiation",192-254,,Reserved for local use,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 6: solar radiation",255,,Missing,,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 0: temperature",0,,Temperature,,,K,Operational
