Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status
Code table 3.1 - Grid definition template number,,90,,Space view perspective or orthographic,,,,Operational
Code table 3.1 - Grid definition template number,,91-99,,Reserved,,,,Operational
Code table 3.1 - Grid definition template number,,100,,Triangular grid based on an icosahedron,,,,Operational
Code table 3.1 - Grid definition template number,,101,,General unstructured grid,,,,Operational
Code table 3.1 - Grid definition template number,,102-109,,Reserved,,,,Operational
Code table 3.1 - Grid definition template number,,110,,Equatorial azimuthal equidistant projection,,,,Operational
Code table 3.1 - Grid definition template number,,111-119,,Reserved,,,,Operational
Code table 3.1 - Grid definition template number,,120,,Azimuth-range projection,,,,Operational
Code table 3.1 - Grid definition template number,,121-139,,Reserved,,,,Operational
Code table 3.1 - Grid definition template number,,140,,Lambert azimuthal equal area projection,,,,Operational
Code table 3.1 - Grid definition template number,,141-149,,Reserved,,,,Operational
Code table 3.1 - Grid definition template number,,150,,Hierarchical Equal Area isoLatitude Pixelization grid (HEALPix),,,,Operational
Code table 3.1 - Grid definition template number,,151-999,,Reserved,,,,Operational
Code table 3.1 - Grid definition template number,,1000,,Cross-section grid with points equally spaced on the horizontal,,,,Experimental
Code table 3.1 - Grid definition template number,,1001-1099,,Reserved,,,,Operational
Code table 3.1 - Grid definition template number,,1100,,Hovmöller diagram grid with points equally spaced on the horizontal,,,,Experimental
Code table 3.1 - Grid definition template number,,1101-1199,,Reserved,,,,Operational
Code table 3.1 - Grid definition template number,,1200,,Time section grid,,,,Experimental
Code table 3.1 - Grid definition template number,,1201-32767,,Reserved,,,,Operational
Code table 3.1 - Grid definition template number,,32768-65534,,Reserved for local use,,,,Operational
Code table 3.1 - Grid definition template number,,65535,,Missing,,,,Operational
Code table 3.2 - Shape of the reference system,,0,,Earth assumed spherical with radius = 6 367 470.0 m,(see Note 2),121,,Operational
Code table 3.2 - Shape of the reference system,,1,,Earth assumed spherical with radius specified (in m) by data producer,(see Note 2),121,,Operational
Code table 3.2 - Shape of the reference system,,2,,"Earth assumed oblate spheroid with size as determined by IAU in 1965 (major axis = 6 378 160.0 m, minor axis = 6 356 775.0 m, f = 1/297.0)",,,,Operational
Code table 3.2 - Shape of the reference system,,3,,Earth assumed oblate spheroid with major and minor axes specified (in km) by data producer,(see Note 2),121,,Operational
Code table 3.2 - Shape of the reference system,,4,,"Earth assumed oblate spheroid as defined in IAG-GRS80 model (major axis = 6 378 137.0 m, minor axis = 6 356 752.314 m, f = 1/298.257 222 101)",,,,Operational
Code table 3.2 - Shape of the reference system,,5,,Earth assumed represented by WGS-84 (as used by ICAO since 1998),,(see Note 1),117,Operational
Code table 3.2 - Shape of the reference system,,6,,Earth assumed spherical with radius of 6 371 229.0 m,(see Note 2),121,,Operational
Code table 3.2 - Shape of the reference system,,7,,Earth assumed oblate spheroid with major or minor axes specified (in m) by data producer,(see Note 2),121,,Operational
Code table 3.2 - Shape of the reference system,,8,,"Earth model assumed spherical with radius of 6 371 200 m, but the horizontal datum of the resulting latitude/longitude field is the WGS-84 reference frame",,,,Operational
Code table 3.2 - Shape of the reference system,,9,,"Earth represented by the Ordnance Survey Great Britain 1936 Datum, using the Airy 1830 Spheroid, the Greenwich meridian as 0 longitude, and the Newlyn datum as mean sea level, 0 height",,,,Operational
Code table 3.2 - Shape of the reference system,,10,,"Earth model assumed WGS84 with corrected geomagnetic coordinates (latitude and longitude) defined by Gustafsson et al., 1992",(see Note 1),117,,Operational
Code table 3.2 - Shape of the reference system,,11,,"Sun assumed spherical with radius = 695 990 000 m (Allen, C.W., Astrophysical Quantities, 3rd ed.; Athlone: London, 1976) and Stonyhurst latitude and longitude system with origin at the intersection of the solar central meridian (as seen from Earth) and the solar equator (Thompson, W., Coordinate systems for solar image data, Astron. Astrophys. 2006, 449, 791-803)",,,,Operational
Code table 3.2 - Shape of the reference system,,12-191,,Reserved,,,,Operational
Code table 3.2 - Shape of the reference system,,192-254,,Reserved for local use,,,,Operational
Code table 3.2 - Shape of the reference system,,255,,Missing,,,,Operational
Flag table 3.3 - Resolution and component flags,,1-2,,Reserved,,,,Operational
Flag table 3.3 - Resolution and component flags,,3,0,i direction increments not given,,,,Operational
Flag table 3.3 - Resolution and component flags,,3,1,i direction increments given,,,,Operational
Flag table 3.3 - Resolution and component flags,,4,0,j direction increments not given,,,,Operational
Flag table 3.3 - Resolution and component flags,,4,1,j direction increments given,,,,Operational
Flag table 3.3 - Resolution and component flags,,5,0,Resolved u- and v- components of vector quantities relative to easterly and northerly directions,,,,Operational
Flag table 3.3 - Resolution and component flags,,5,1,"Resolved u- and v- components of vector quantities relative to the defined grid in the direction of increasing x and y (or i and j) coordinates, respectively",,,,Operational
Flag table 3.3 - Resolution and component flags,,6-8,,Reserved - set to zero,,,,Operational
Flag table 3.4 - Scanning mode,,1,0,Points of first row or column scan in the +i (+x) direction,,,,Operational
Flag table 3.4 - Scanning mode,,1,1,Points of first row or column scan in the -i (-x) direction,,,,Operational
Flag table 3.4 - Scanning mode,,2,0,Points of first row or column scan in the -j (-y) direction,,,,Operational
Flag table 3.4 - Scanning mode,,2,1,Points of first row or column scan in the +j (+y) direction,,,,Operational
Flag table 3.4 - Scanning mode,,3,0,Adjacent points in i (x) direction are consecutive,,,,Operational
