Title_en,OctetNo,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
"Product definition template 4.54 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for partitioned parameters",(28+2NP),Scale factor of first fixed surface,,,,,Operational
"Product definition template 4.54 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for partitioned parameters",(29+2NP)-(32+2NP),Scaled value of first fixed surface,,,,,Operational
"Product definition template 4.54 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for partitioned parameters",(33+2NP),Type of second fixed surface,(see Code table 4.5),,4.5,,Operational
"Product definition template 4.54 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for partitioned parameters",(34+2NP),Scale factor of second fixed surface,,,,,Operational
"Product definition template 4.54 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for partitioned parameters",(35+2NP)-(38+2NP),Scaled value of second fixed surface,,,,,Operational
"Product definition template 4.54 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for partitioned parameters",(39+2NP),Type of ensemble forecast,(see Code table 4.6),,4.6,,Operational
"Product definition template 4.54 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for partitioned parameters",(40+2NP),Perturbation number,,,,,Operational
"Product definition template 4.54 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for partitioned parameters",(41+2NP),Number of forecasts in ensemble,,,,,Operational
Product definition template 4.55 - spatio-temporal changing tiles at a horizontal level or horizontal layer at a point in time,10,Parameter category,(see Code table 4.1),,4.1,,Operational
Product definition template 4.55 - spatio-temporal changing tiles at a horizontal level or horizontal layer at a point in time,11,Parameter number,(see Code table 4.2),,4.2,,Operational
Product definition template 4.55 - spatio-temporal changing tiles at a horizontal level or horizontal layer at a point in time,12,Tile classification,(see Code table 4.242),,4.242,,Operational
Product definition template 4.55 - spatio-temporal changing tiles at a horizontal level or horizontal layer at a point in time,13,Total number (NT) of tile/attribute pairs,(see Notes 1 and 2),"20,58",,,Operational
Product definition template 4.55 - spatio-temporal changing tiles at a horizontal level or horizontal layer at a point in time,14,Number of used spatial tiles (NUT),(see Notes 1 and 2),"20,58",,,Operational
Product definition template 4.55 - spatio-temporal changing tiles at a horizontal level or horizontal layer at a point in time,15,"Tile index (ITN = {1,…, NUT})",(see Note 1),58,,,Operational
Product definition template 4.55 - spatio-temporal changing tiles at a horizontal level or horizontal layer at a point in time,16,Number of used tile attributes (NAT) for tile ITN,(see Note 1),58,,,Operational
Product definition template 4.55 - spatio-temporal changing tiles at a horizontal level or horizontal layer at a point in time,17,"Attribute of tile (A = {A(1),…, A(NAT(ITN))})",(see Code table 4.241 and Note 1),58,4.241,,Operational
Product definition template 4.55 - spatio-temporal changing tiles at a horizontal level or horizontal layer at a point in time,18,Type of generating process,(see Code table 4.3),,4.3,,Operational
Product definition template 4.55 - spatio-temporal changing tiles at a horizontal level or horizontal layer at a point in time,19,Background generating process identifier (defined by originating centre),,,,,Operational
Product definition template 4.55 - spatio-temporal changing tiles at a horizontal level or horizontal layer at a point in time,20,Analysis or forecast generating process identifier (defined by originating centre),,,,,Operational
Product definition template 4.55 - spatio-temporal changing tiles at a horizontal level or horizontal layer at a point in time,21-22,Hours of observational data cut-off after reference time,(see Note 3),33,,,Operational
Product definition template 4.55 - spatio-temporal changing tiles at a horizontal level or horizontal layer at a point in time,23,Minutes of observational data cut-off after reference time,,,,,Operational
Product definition template 4.55 - spatio-temporal changing tiles at a horizontal level or horizontal layer at a point in time,24,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational
Product definition template 4.55 - spatio-temporal changing tiles at a horizontal level or horizontal layer at a point in time,25-28,Forecast time in units defined by octet 24,,,,,Operational
Product definition template 4.55 - spatio-temporal changing tiles at a horizontal level or horizontal layer at a point in time,29,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational
Product definition template 4.55 - spatio-temporal changing tiles at a horizontal level or horizontal layer at a point in time,30,Scale factor of first fixed surface,,,,,Operational
Product definition template 4.55 - spatio-temporal changing tiles at a horizontal level or horizontal layer at a point in time,31-34,Scaled value of first fixed surface,,,,,Operational
Product definition template 4.55 - spatio-temporal changing tiles at a horizontal level or horizontal layer at a point in time,35,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational
Product definition template 4.55 - spatio-temporal changing tiles at a horizontal level or horizontal layer at a point in time,36,Scale factor of second fixed surface,,,,,Operational
Product definition template 4.55 - spatio-temporal changing tiles at a horizontal level or horizontal layer at a point in time,37-40,Scaled value of second fixed surface,,,,,Operational
"Product definition template 4.56 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",10,Parameter category,(see Code table 4.1),,4.1,,Deprecated
"Product definition template 4.56 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",11,Parameter number,(see Code table 4.2),,4.2,,Deprecated
"Product definition template 4.56 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",12,Tile classification,(see Code table 4.242),,4.242,,Deprecated
"Product definition template 4.56 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",13,Total number (NT) of tile/attribute pairs,(see Notes 1 and 2),"20,58",,,Deprecated
"Product definition template 4.56 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",14,Number of used spatial tiles (NUT),(see Notes 1 and 2),"20,58",,,Deprecated
"Product definition template 4.56 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",15,"Tile index (ITN = {1,…, NUT})",(see Note 1),58,,,Deprecated
"Product definition template 4.56 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",16,Number of used tile attributes (NAT) for tile ITN,(see Note 1),58,,,Deprecated
"Product definition template 4.56 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",17,"Attribute of tile (A = {A(1),…, A(NAT(ITN))})",(see Code table 4.241 and Note 1),58,4.241,,Deprecated
"Product definition template 4.56 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",18,Type of generating process,(see Code table 4.3),,4.3,,Deprecated
"Product definition template 4.56 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",19,Background generating process identifier (defined by originating centre),,,,,Deprecated
"Product definition template 4.56 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",20,Analysis or forecast generating process identifier (defined by originating centre),,,,,Deprecated
"Product definition template 4.56 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",21-22,Hours of observational data cut-off after reference time,(see Note 3),33,,,Deprecated
"Product definition template 4.56 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",23,Minutes of observational data cut-off after reference time,,,,,Deprecated
"Product definition template 4.56 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",24,Indicator of unit of time range,(see Code table 4.4),,4.4,,Deprecated
"Product definition template 4.56 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",25-28,Forecast time in units defined by octet 24,,,,,Deprecated
"Product definition template 4.56 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",29,Type of first fixed surface,(see Code table 4.5),,4.5,,Deprecated
"Product definition template 4.56 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",30,Scale factor of first fixed surface,,,,,Deprecated
"Product definition template 4.56 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",31-34,Scaled value of first fixed surface,,,,,Deprecated
"Product definition template 4.56 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",35,Type of second fixed surface,(see Code table 4.5),,4.5,,Deprecated
"Product definition template 4.56 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",36,Scale factor of second fixed surface,,,,,Deprecated
"Product definition template 4.56 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",37-40,Scaled value of second fixed surface,,,,,Deprecated
"Product definition template 4.56 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",41,Perturbation number,,,,,Deprecated
"Product definition template 4.56 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",42,Number of forecasts in ensemble,,,,,Deprecated
Product definition template 4.57 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function,,"Repeat the following 5 octets for the number of function parameters (n = 1,Np), if Np > 0",,,,,Operational
Product definition template 4.57 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function,10,Parameter category,(see Code table 4.1),,4.1,,Operational
Product definition template 4.57 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function,11,Parameter number,(see Code table 4.2),,4.2,,Operational
Product definition template 4.57 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function,12-13,Atmospheric chemical constituent type,(see Code table 4.230),,4.230,,Operational
Product definition template 4.57 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function,14-15,Number of modes (N) of distribution,(see Note 1),36,,,Operational
Product definition template 4.57 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function,16-17,Mode number (l),,,,,Operational
Product definition template 4.57 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function,18-19,Type of distribution function,(see Code table 4.240),,4.240,,Operational
Product definition template 4.57 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function,20,"Number of following function parameters (Np), defined by type given in octets 18-19 (Type of distribution function)",,,,,Operational
Product definition template 4.57 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function,21+5(n-1),"List of scale factor of fixed distribution function parameter (p1-pNp), defined by type of distribution in octets 18-19",,,,,Operational
Product definition template 4.57 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function,21+5Np,Type of generating process,(see Code table 4.3),,4.3,,Operational
Product definition template 4.57 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function,(22+5(n-1))-(25+5(n-1)),"List of scaled value of fixed distribution function parameter (p1-pNp), defined by type of distribution in octets 18-19",,,,,Operational
Product definition template 4.57 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function,22+5Np,Background generating process identifier (defined by originating centre),,,,,Operational
Product definition template 4.57 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function,23+5Np,Analysis or forecast generating process identifier (defined by originating centre),,,,,Operational
Product definition template 4.57 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function,(24+5Np)-(25+5Np),Hours of observational data cut-off after reference time,(see Note 2),33,,,Operational
Product definition template 4.57 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function,26+5Np,Minutes of observational data cut-off after reference time,,,,,Operational
Product definition template 4.57 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function,27+5Np,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational
Product definition template 4.57 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function,(28+5Np)-(31+5Np),Forecast time in units defined by the previous octet,,,,,Operational
Product definition template 4.57 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function,32+5Np,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational
Product definition template 4.57 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function,33+5Np,Scale factor of first fixed surface,,,,,Operational
Product definition template 4.57 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function,(34+5Np)-(37+5Np),Scaled value of first fixed surface,,,,,Operational
Product definition template 4.57 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function,38+5Np,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational
Product definition template 4.57 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function,39+5Np,Scale factor of second fixed surface,,,,,Operational
Product definition template 4.57 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function,(40+5Np)-(43+5Np),Scaled value of second fixed surface,,,,,Operational
"Product definition template 4.58 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function",,"Repeat the following 5 octets for the number of function parameters (n = 1, Np), if Np > 0",,,,,Operational
"Product definition template 4.58 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function",10,Parameter category,(see Code table 4.1),,4.1,,Operational
"Product definition template 4.58 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function",11,Parameter number,(see Code table 4.2),,4.2,,Operational
"Product definition template 4.58 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function",12-13,Atmospheric chemical constituent type,(see Code table 4.230),,4.230,,Operational
"Product definition template 4.58 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function",14-15,Number of modes (N) of distribution,(see Note 1),36,,,Operational
"Product definition template 4.58 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function",16-17,Mode number (l),,,,,Operational
"Product definition template 4.58 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function",18-19,Type of distribution function,(see Code table 4.240),,4.240,,Operational
"Product definition template 4.58 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function",20,"Number of following function parameters (Np), defined by type given in octets 18-19 (Type of distribution function)",,,,,Operational
"Product definition template 4.58 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function",21+5(n-1),"List of scale factor of fixed distribution function parameter (p1-pNp), defined by type of distribution in octets 18-19",,,,,Operational
"Product definition template 4.58 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function",21+5Np,Type of generating process,(see Code table 4.3),,4.3,,Operational
"Product definition template 4.58 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function",(22+5(n-1))-(25+5(n-1)),"List of scaled value of fixed distribution function parameter (p1-pNp), defined by type of distribution in octets 18-19",,,,,Operational
"Product definition template 4.58 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function",22+5Np,Background generating process identifier (defined by originating centre),,,,,Operational
"Product definition template 4.58 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function",23+5Np,Analysis or forecast generating process identifier (defined by originating centre),,,,,Operational
"Product definition template 4.58 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function",(24+5Np)-(25+5Np),Hours of observational data cut-off after reference time,(see Note 2),33,,,Operational
"Product definition template 4.58 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function",26+5Np,Minutes of observational data cut-off after reference time,,,,,Operational
"Product definition template 4.58 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function",27+5Np,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational
"Product definition template 4.58 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function",(28+5Np)-(31+5Np),Forecast time in units defined by the previous octet,,,,,Operational
"Product definition template 4.58 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function",32+5Np,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational
"Product definition template 4.58 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function",33+5Np,Scale factor of first fixed surface,,,,,Operational
"Product definition template 4.58 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function",(34+5Np)-(37+5Np),Scaled value of first fixed surface,,,,,Operational
"Product definition template 4.58 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function",38+5Np,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational
"Product definition template 4.58 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function",39+5Np,Scale factor of second fixed surface,,,,,Operational
"Product definition template 4.58 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function",(40+5Np)-(43+5Np),Scaled value of second fixed surface,,,,,Operational
"Product definition template 4.58 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function",44+5Np,Type of ensemble forecast,(see Code table 4.6),,4.6,,Operational
"Product definition template 4.58 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function",45+5Np,Perturbation number,,,,,Operational
"Product definition template 4.58 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents based on a distribution function",46+5Np,Number of forecasts in ensemble,,,,,Operational
"Product definition template 4.59 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",10,Parameter category,(see Code table 4.1),,4.1,,Operational
"Product definition template 4.59 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",11,Parameter number,(see Code table 4.2),,4.2,,Operational
"Product definition template 4.59 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",12,Tile classification,(see Code table 4.242),,4.242,,Operational
"Product definition template 4.59 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",13,Total number (NT) of tile/attribute pairs,(see Notes 1 and 2),"20,58",,,Operational
"Product definition template 4.59 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",14,Number of used spatial tiles (NUT),(see Notes 1 and 2),"20,58",,,Operational
"Product definition template 4.59 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",15,"Tile index (ITN = {1,…, NUT})",(see Note 1),58,,,Operational
"Product definition template 4.59 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",16,Number of used tile attributes (NAT) for tile ITN,(see Note 1),58,,,Operational
"Product definition template 4.59 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",17,"Attribute of tile (see Code table 4.241)) (A = {A(1),…, A(NAT(ITN))})",(see Note 1),58,4.241,,Operational
"Product definition template 4.59 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",18,Type of generating process,(see Code table 4.3),,4.3,,Operational
"Product definition template 4.59 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",19,Background generating process identifier (defined by originating centre),,,,,Operational
"Product definition template 4.59 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",20,Analysis or forecast generating process identifier (defined by originating centre),,,,,Operational
"Product definition template 4.59 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",21-22,Hours of observational data cut-off after reference time,(see Note 3),33,,,Operational
"Product definition template 4.59 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",23,Minutes of observational data cut-off after reference time,,,,,Operational
"Product definition template 4.59 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",24,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational
"Product definition template 4.59 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",25-28,Forecast time in units defined by octet 24,,,,,Operational
"Product definition template 4.59 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",29,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational
"Product definition template 4.59 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",30,Scale factor of first fixed surface,,,,,Operational
"Product definition template 4.59 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",31-34,Scaled value of first fixed surface,,,,,Operational
"Product definition template 4.59 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",35,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational
"Product definition template 4.59 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",36,Scale factor of second fixed surface,,,,,Operational
"Product definition template 4.59 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",37-40,Scaled value of second fixed surface,,,,,Operational
"Product definition template 4.59 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",41,Type of ensemble forecast,(see Code table 4.6),,4.6,,Operational
"Product definition template 4.59 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",42,Perturbation number,,,,,Operational
"Product definition template 4.59 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for spatio-temporal changing tile parameters",43,Number of forecasts in ensemble,,,,,Operational
"Product definition template 4.60 - individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time",10,Parameter category,(see Code table 4.1),,4.1,,Operational
"Product definition template 4.60 - individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time",11,Parameter number,(see Code table 4.2),,4.2,,Operational
"Product definition template 4.60 - individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time",12,Type of generating process,(see Code table 4.3),,4.3,,Operational
"Product definition template 4.60 - individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time",13,Background generating process identifier (defined by originating centre),,,,,Operational
"Product definition template 4.60 - individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time",14,Analysis or forecast generating process identifier (defined by originating centre),,,,,Operational
"Product definition template 4.60 - individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time",15-16,Hours of observational data cut-off after reference time,(see Note 1),33,,,Operational
"Product definition template 4.60 - individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time",17,Minutes of observational data cut-off after reference time,,,,,Operational
"Product definition template 4.60 - individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time",18,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational
"Product definition template 4.60 - individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time",19-22,Forecast time in units defined by octet 18,,,,,Operational
"Product definition template 4.60 - individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time",23,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational
"Product definition template 4.60 - individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time",24,Scale factor of first fixed surface,,,,,Operational
"Product definition template 4.60 - individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time",25-28,Scaled value of first fixed surface,,,,,Operational
"Product definition template 4.60 - individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time",29,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational
"Product definition template 4.60 - individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time",30,Scale factor of second fixed surface,,,,,Operational
"Product definition template 4.60 - individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time",31-34,Scaled value of second fixed surface,,,,,Operational
"Product definition template 4.60 - individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time",35,Type of ensemble forecast,(see Code table 4.6),,4.6,,Operational
"Product definition template 4.60 - individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time",36,Perturbation number,,,,,Operational
"Product definition template 4.60 - individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time",37,Number of forecasts in ensemble,,,,,Operational
"Product definition template 4.60 - individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time",38-39,Year of model version date,(see Note 2),127,,,Operational
"Product definition template 4.60 - individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time",40,Month of model version date,,,,,Operational
"Product definition template 4.60 - individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time",41,Day of model version date,,,,,Operational
"Product definition template 4.60 - individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time",42,Hour of model version date,,,,,Operational
"Product definition template 4.60 - individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time",43,Minute of model version date,,,,,Operational
"Product definition template 4.60 - individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time",44,Second of model version date,,,,,Operational
"Product definition template 4.61 - individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",,57-68   Specification of the outermost (or only) time range over which statistical processing is done,,,,,Operational
"Product definition template 4.61 - individual ensemble reforecast, control and perturbed, at a horizontal level or in a horizontal layer, in a continuous or non-continuous time interval",,"69-nn   These octets are included only if n > 1, where nn = 56 + 12 x n",,,,,Operational
